accommodationId,coordinates.latitude,coordinates.longitude,details.name,details.stars,details.address.first,details.address.last,title
24554343,41.00474166870117,15.630746841430664,Relais La Fattoria,4,"S.S. 658 Uscita Melfi Nord,","85025 Melfi, PZ, Italia",hotel 4*
13175198,41.00588607788086,15.380030632019045,Domus Romulea,3,"Via XXIII Luglio (statale 333 altezza 11/40),","83044 Bisaccia, AV, Italia",hotel 3*
1448719,40.981746673583984,15.61882781982422,Il Castagneto Hotel,4,"Via Monticchio SS 401 Km 3,100,","85025 Melfi, PZ, Italia",hotel 4*
16315116,40.989315032958984,15.647825241088867,Hotel Due Pini,4,"Largo Stazione Snc,","85025 Melfi, PZ, Italia",hotel 4*
25634740,41.47171401977539,13.815109252929688,Hotel Ristorante Al Boschetto,4,"Via Ausonia 54,","03043 Cassino, FR, Italia",hotel 4*
24707620,41.4957389831543,13.750752449035645,Hotel San Germano,3,"Via Calatafimi 5,","03030 Piedimonte San Germano, FR, Italia",hotel 3*
16314927,41.497188568115234,13.67997932434082,Hotel Liola',4,"Via Leuciana 31/A,","03030 Castrocielo, FR, Italia",hotel 4*
24707859,41.49222183227539,13.768113136291504,Giga Hotel,3,"Via Strada Servizio Fiat Snc,","03030 Villa Santa Lucia, FR, Italia",hotel 3*
24707544,41.468257904052734,13.810912132263184,Hotel Diana,3,"Strada  Statale 630, 22,","03043 Cassino, FR, Italia",hotel 3*
16609317,41.46813201904297,13.810450553894045,Hotel Ristorante La Campagnola,3,"Strada Statale 630, 26,","03043 Cassino, FR, Italia",hotel 3*
1867221,41.532569885253906,13.649152755737305,Summa Resort,3,"Via Adige,","03038 Roccasecca, FR, Italia",hotel 3*
16708946,41.46477508544922,13.804750442504885,Grand Hotel Pavone,3,"Via Ausonia Km 2,","03043 Cassino, FR, Italia",hotel 3*
93055011,41.47964859008789,13.81277561187744,Forum Palace Hotel,4,"Via Casilina Nord Km. 136,500,","03043 Cassino, FR, Italia",hotel 4*
82334067,41.53190612792969,13.700337409973145,Villa Euchelia,4,"Via Giovenale 28,","03030 Castrocielo, FR, Italia",hotel 4*
53471327,41.493106842041016,13.75157070159912,Kairos Resort & Spa,4,"Via Casilina Nord Km 130,700,","03030 Piedimonte San Germano, FR, Italia",hotel 4*
24707549,41.4619026184082,13.800909996032717,Edra Palace Hotel & Ristorante,4,"Via Cerro,","03043 Cassino, FR, Italia",hotel 4*
96188875,37.4175910949707,13.605204582214355,"Turismo Rurale ""Principe Di Aragona""",3,"C.da Fontana Vicario, 92021 Aragona, Sicile, Italie,","Aragona, AG, Italy",hotel 3*
1420582,37.42436599731445,13.5977144241333,Roba Albanisi,0,"Contrada Santa Rosalia,","92021 Aragona, AG, Italia",hotel
1212375,46.14490509033203,12.795358657836914,Albergo Julienne,2,"Via Daniele Manin 63,","33090 Arba, PN, Italia",hotel 2*
2582948,46.10975646972656,12.899410247802734,Hotel Stella D'oro,3,"Via XX Settembre, 58,","33097 Spilimbergo, PN, Italia",hotel 3*
44339360,46.11196517944336,12.899264335632324,Albergo Michielini,2,"3 Viale Barbacane,","33097 Spilimbergo, PN, Italia",hotel 2*
2240129,46.1827278137207,12.748014450073242,Al Giardino,3,"Via Circonvallazione Nuova 3,","33092 Fanna, PN, Italia",hotel 3*
95261344,46.080535888671875,12.780350685119627,Gelindo Dei Magredi Casa Rossa,3,"14 Via Roma,","33099 Vivaro, PN, Italy",hotel 3*
2549204,46.146514892578125,12.698637962341309,Hotel Vajont,3,"piazza Monte Toc 5,","33080 Vajont, PN, Italia",hotel 3*
57842306,46.171531677246094,12.707564353942873,Albergo Leon D'oro,3,"Piazza Italia n.1,","33085 Maniago, PN, Italia",hotel 3*
95261337,46.08049392700195,12.780384063720703,Gelindo Dei Magredi Casa Gialla,3,"14 Via Roma,","33099 Vivaro, PN, Italy",hotel 3*
1597589,46.15869903564453,12.823920249938965,Albergo Belvedere,3,"Via Odorico 54,","33090 Sequals, PN, Italia",hotel 3*
15548459,46.16936874389648,12.706307411193848,Eurohotel Palace Maniago,4,"Viale Della Vittoria 3,","33085 Maniago, PN, Italia",hotel 4*
16390913,39.720367431640625,8.6360626220703125,La Corte Di Lucina,1,"Via Baccelli, 11,","09098 Terralba, OR, Italia",hotel 1*
1206752,39.90468215942383,8.585864067077637,Mistral2 Hotel,4,"Via XX Settembre 34,","09170 Oristano, OR, Italia",hotel 4*
15534319,39.90523910522461,8.596060752868652,Mariano Iv Palace Hotel,4,"Piazza Mariano 50,","09170 Oristano, OR, Italia",hotel 4*
1090100,39.90224838256836,8.591514587402344,Hotel Il Duomo,0,"Via Vittorio Emanuele, 34,","09170 Oristano, OR, Italia",hotel
16092779,39.52834701538086,8.60389232635498,Hotel Meridiana,3,"Via Repubblica 172,","09031 Arbus, SU, Italia",hotel 3*
1871468,39.53255081176758,8.608553886413574,Hotel Soffio Di Vento,3,"Località' Genna Frongia,","09031 Arbus, SU, Italia",hotel 3*
15508368,39.5259895324707,8.642762184143066,Sa Rocca Sport E Resort,2,"Loc. San Giorgio Ss 196 Km 42,","09036 Guspini, SU, Italia",hotel 2*
24706641,41.547752380371094,13.51867389678955,La Vignola Country Hotel,3,"Via Vignola,","03024 Ceprano, FR, Italia",hotel 3*
15554494,41.64449691772461,13.612430572509766,Hotel Il Cavalier D'arpino,3,"Via Vittoria Colonna 21,","03033 Arpino, FR, Italia",hotel 3*
1567323,41.6077995300293,13.530692100524902,Villa Del Colle,3,"Via Colle Scalone,","03030 Monte San Giovanni Campano, FR, Italia",hotel 3*
29916940,41.65408706665039,13.619830131530762,Hotel Albergo Ristorante Il Ciclope,3,"Via San Francesco, 23,","03033 Arpino, FR, Italia",hotel 3*
16417532,41.549102783203125,13.510028839111328,Hotel Ristorante Borgo Antico,3,"Via Campidoglio 266,","03024 Ceprano, FR, Italia",hotel 3*
92438433,41.54064178466797,13.493183135986328,La Terrazza Ceprano,3,"Via Ristretto,","03024 Ceprano, FR, Italia",hotel 3*
16312678,41.544281005859375,13.512598991394045,Hotel Villa Ida,3,"Via Caragno 27,","03024 Ceprano, FR, Italia",hotel 3*
90337695,45.55243682861328,9.529790878295898,Botanique Hotel Vergani,3,"Via Adda, 22,","24045 Fara Gera d'Adda, BG, Italia",hotel 3*
78599603,45.605987548828125,9.546241760253906,Hotel Tech,0,"via Vittorio Veneto 31,","24041 Brembate, BG, Italia",hotel
19404837,45.606876373291016,9.625194549560549,Quattro Gatti Rooms&suite,4,"12 Via Don Giavazzi,","24049 Verdello, BG, Italia",hotel 4*
16312582,45.53151321411133,9.507734298706056,B&b Hotel Park Hotel Cassano,4,"Strada Provinciale 104,","20062 Cassano d'Adda, MI, Italia",hotel 4*
15555533,45.58837127685547,9.529657363891602,Country Hotel Castelbarco,4,"Via Concesa snc,","20069 Vaprio d'Adda, MI, Italia",hotel 4*
49731955,45.57685852050781,9.614971160888672,Palace Hotel Zingonia,0,"Corso Europa 2,","24049 Arcene, BG, Italia",hotel
1130325,45.615989685058594,9.591436386108398,Albergo La Braseria,3,"Via Risorgimento 15/17,","24046 Osio Sotto, BG, Italia",hotel 3*
15497439,45.6560173034668,9.64650821685791,Art & Hotel Aeroporto,4,"Via Santuario 43,","24040 Stezzano, BG, Italia",hotel 4*
16315377,45.52740478515625,9.584020614624023,Hotel Meuble' Atlantic,3,"Via Canonica 1,","24047 Treviglio, BG, Italia",hotel 3*
1468236,45.612178802490234,9.591663360595703,Hotel Ristorante Continental,4,"Via Milano 1,","24046 Osio Sotto, BG, Italia",hotel 4*
15554581,45.63689804077149,9.619586944580078,Hotel Parigi 2 & Spa,3,"Via Leoncavallo 5,","24044 Dalmine, BG, Italia",hotel 3*
15500104,45.650936126708984,9.632209777832031,Mercure Bergamo Aeroporto,4,"Via Arrigo Boito 12,","24040 Stezzano, BG, Italia",hotel 4*
75996471,45.579376220703125,9.70628833770752,Villa Manzoni,3,"2 Piazza Giuseppe Garibaldi,","24055 Cologno al Serio, BG, Italia",hotel 3*
15554452,45.6478385925293,9.61823844909668,Hotel Daina,3,"Via Provinciale 78,","24044 Dalmine, BG, Italia",hotel 3*
1733262,45.65363693237305,9.650440216064451,Hotel Albi,2,"Via Conte Pino Zanchi 2,","24040 Stezzano, BG, Italia",hotel 2*
27145410,45.52423477172851,9.595394134521484,Hotel Marelet,4,"17 Viale Cesare Battisti,","24047 Treviglio, BG, Italia",hotel 4*
15554835,45.60063171386719,9.598472595214844,Palace Hotel Zingonia,4,"Piazza Affari,","24049 Verdellino, BG, Italia",hotel 4*
15548202,45.58880233764648,9.736759185791016,Bes Hotel Bergamo Cologno Al Serio,4,"Sp 122 La Francesca-Loc.Muratella,","24055 Cologno al Serio, BG, Italia",hotel 4*
1679357,45.64142608642578,9.614459037780762,One Hotel & Restaurant,4,"Via Frà Galgario 1,","24044 Dalmine, BG, Italia",hotel 4*
15497441,45.66341400146485,9.631813049316406,Hotel Donizetti,3,"Via Aldo Moro, 29,","24040 Lallio, BG, Italia",hotel 3*
49242430,45.54481506347656,9.64151096343994,Bv Hotel,4,"11 Via Provinciale per Verdello 11,","24053 Brignano Gera d'Adda, BG, Italia",hotel 4*
89743614,43.427093505859375,12.934378623962402,Da Bosio,2,"Località Bivio Pandolfi,","60040 Genga, AN, Italia",hotel 2*
18359469,43.53202819824219,13.339505195617676,Agriturismo La Quiete,0,"Via Mazzangrugno 24,","60020 Polverigi, AN, Italia",hotel
